account_transaction_id,transaction_date,customer_id,customer_name,partner_id,partner_name,warehouse_id,warehouse_name,creator_type,creator_id,description,total,Below Min Storage,Carrier Fees,Credit Card,Pack,Packaging,Payment Processing,Pick,Project,Scancoding,Storage,Whiplash Error,package_count,merch_count
95303211,2021-04-01 18:46:23,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23435154,Total charges for Order 23435154,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95303734,2021-04-01 18:47:55,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23458303,Total charges for Order 23458303,-15.16,0.0,-11.46,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95304033,2021-04-01 18:48:59,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23459915,Total charges for Order 23459915,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95304525,2021-04-01 18:50:42,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471083,Total charges for Order 23471083,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95304774,2021-04-01 18:51:43,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471084,Total charges for Order 23471084,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95305022,2021-04-01 18:52:34,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471085,Total charges for Order 23471085,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95305319,2021-04-01 18:53:32,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471086,Total charges for Order 23471086,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95305619,2021-04-01 18:54:48,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471087,Total charges for Order 23471087,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95305985,2021-04-01 18:56:23,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471089,Total charges for Order 23471089,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95306347,2021-04-01 18:57:43,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471090,Total charges for Order 23471090,-7.5,0.0,-3.8,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95306771,2021-04-01 18:59:24,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23471092,Total charges for Order 23471092,-12.72,0.0,-5.04,0.0,-2.5,-1.2,0.0,-3.98,0.0,0.0,0.0,0.0,1,7.0
95420425,2021-04-02 13:25:01,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23394007,Total charges for Order 23394007,-200.82,0.0,-128.04,0.0,-10.5,-13.77,0.0,-48.51,0.0,0.0,0.0,0.0,3,180.0
95490160,2021-04-02 18:06:37,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354529,Total charges for Order 23354529,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491096,2021-04-02 18:10:05,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354532,Total charges for Order 23354532,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491126,2021-04-02 18:10:08,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354533,Total charges for Order 23354533,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491134,2021-04-02 18:10:10,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354538,Total charges for Order 23354538,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491150,2021-04-02 18:10:14,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354556,Total charges for Order 23354556,-15.13,0.0,-11.43,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491167,2021-04-02 18:10:16,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354559,Total charges for Order 23354559,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491194,2021-04-02 18:10:19,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354572,Total charges for Order 23354572,-15.16,0.0,-11.46,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491226,2021-04-02 18:10:24,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354573,Total charges for Order 23354573,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491230,2021-04-02 18:10:26,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354581,Total charges for Order 23354581,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95491244,2021-04-02 18:10:30,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354585,Total charges for Order 23354585,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492062,2021-04-02 18:13:23,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354590,Total charges for Order 23354590,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492070,2021-04-02 18:13:25,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354593,Total charges for Order 23354593,-12.06,0.0,-8.36,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492089,2021-04-02 18:13:27,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354594,Total charges for Order 23354594,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492108,2021-04-02 18:13:29,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354595,Total charges for Order 23354595,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492129,2021-04-02 18:13:32,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354596,Total charges for Order 23354596,-12.25,0.0,-8.55,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492138,2021-04-02 18:13:35,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354597,Total charges for Order 23354597,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492152,2021-04-02 18:13:37,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354598,Total charges for Order 23354598,-15.16,0.0,-11.46,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492170,2021-04-02 18:13:41,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354599,Total charges for Order 23354599,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492188,2021-04-02 18:13:43,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354600,Total charges for Order 23354600,-15.13,0.0,-11.43,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492230,2021-04-02 18:13:47,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354602,Total charges for Order 23354602,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492242,2021-04-02 18:13:51,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354604,Total charges for Order 23354604,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492265,2021-04-02 18:13:55,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354605,Total charges for Order 23354605,-14.47,0.0,-10.77,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492286,2021-04-02 18:13:57,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354606,Total charges for Order 23354606,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492294,2021-04-02 18:14:00,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354607,Total charges for Order 23354607,-12.25,0.0,-8.55,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492298,2021-04-02 18:14:02,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354608,Total charges for Order 23354608,-12.25,0.0,-8.55,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492394,2021-04-02 18:14:13,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354609,Total charges for Order 23354609,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492405,2021-04-02 18:14:15,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354611,Total charges for Order 23354611,-12.75,0.0,-9.05,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492414,2021-04-02 18:14:17,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354612,Total charges for Order 23354612,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492426,2021-04-02 18:14:20,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354614,Total charges for Order 23354614,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492442,2021-04-02 18:14:22,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354615,Total charges for Order 23354615,-15.16,0.0,-11.46,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492446,2021-04-02 18:14:24,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354618,Total charges for Order 23354618,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
95492462,2021-04-02 18:14:27,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354620,Total charges for Order 23354620,-12.56,0.0,-8.86,0.0,-2.5,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
