account_transaction_id,transaction_date,customer_id,customer_name,partner_id,partner_name,warehouse_id,warehouse_name,creator_type,creator_id,description,total,Below Min Storage,Carrier Fees,Credit Card,Manual Payment,Pack,Packaging,Payment Processing,Pick,Storage,package_count,merch_count
105229246,2021-06-01 16:45:47,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792497,Total charges for Order 25792497,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229262,2021-06-01 16:45:50,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792498,Total charges for Order 25792498,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229305,2021-06-01 16:45:53,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792499,Total charges for Order 25792499,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229399,2021-06-01 16:46:07,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792500,Total charges for Order 25792500,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229427,2021-06-01 16:46:11,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792501,Total charges for Order 25792501,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229669,2021-06-01 16:46:52,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792502,Total charges for Order 25792502,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229682,2021-06-01 16:46:54,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792504,Total charges for Order 25792504,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229712,2021-06-01 16:46:57,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792505,Total charges for Order 25792505,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229728,2021-06-01 16:46:59,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792507,Total charges for Order 25792507,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229746,2021-06-01 16:47:02,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792508,Total charges for Order 25792508,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229755,2021-06-01 16:47:04,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792509,Total charges for Order 25792509,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229911,2021-06-01 16:47:30,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792510,Total charges for Order 25792510,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229929,2021-06-01 16:47:32,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792512,Total charges for Order 25792512,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229951,2021-06-01 16:47:36,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792514,Total charges for Order 25792514,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229961,2021-06-01 16:47:37,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792516,Total charges for Order 25792516,-16.89,0.0,-13.19,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229967,2021-06-01 16:47:39,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792517,Total charges for Order 25792517,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229985,2021-06-01 16:47:42,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792519,Total charges for Order 25792519,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105229993,2021-06-01 16:47:44,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792522,Total charges for Order 25792522,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105230013,2021-06-01 16:47:47,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792525,Total charges for Order 25792525,-18.96,0.0,-15.26,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105230026,2021-06-01 16:47:49,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792526,Total charges for Order 25792526,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105230054,2021-06-01 16:47:53,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792527,Total charges for Order 25792527,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105230066,2021-06-01 16:47:59,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792528,Total charges for Order 25792528,-18.05,0.0,-14.35,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105230103,2021-06-01 16:48:02,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,25792530,Total charges for Order 25792530,-7.5,0.0,-3.8,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105304414,2021-06-01 20:24:20,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922290,Total charges for Order 23922290,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105305416,2021-06-01 20:27:16,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922293,Total charges for Order 23922293,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105306061,2021-06-01 20:29:08,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922297,Total charges for Order 23922297,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105307022,2021-06-01 20:32:12,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922300,Total charges for Order 23922300,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105307723,2021-06-01 20:34:25,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922313,Total charges for Order 23922313,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105308418,2021-06-01 20:36:17,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922317,Total charges for Order 23922317,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
105309685,2021-06-01 20:40:07,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23354562,Total charges for Order 23354562,-15.13,0.0,-11.43,0.0,0.0,-2.5,-1.2,0.0,0.0,0.0,1,1.0
105310617,2021-06-01 20:43:05,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922280,Total charges for Order 23922280,-22.79,0.0,-10.57,0.0,0.0,-2.5,-4.59,0.0,-5.13,0.0,1,12.0
105311265,2021-06-01 20:45:25,7044,Diggers Factory,1,Whiplash,4,Ypsilanti,Order,23922364,Total charges for Order 23922364,-15.84,0.0,-8.11,0.0,0.0,-2.5,-1.25,0.0,-3.98,0.0,1,7.0
